orig,inverse,Complement,Rotation Direction
R,R',l,X
r,r',L,X
T,T',R'L,X
l,l',R,X'
L,L',r,X'
X,X',0,X
R',R,l',X'
r',r,L',X'
T',T,RL',X'
l',l,R',X
L',L,r',X
X',X,0,X'
R2,R2,l2,X2
r2,r2,L2,X2
T2,T2,R2L2,X2
l2,l2,R2,X2
L2,L2,r2,X2
X2,X2,0,X2
F,F',b,Z
f,f',B,Z
S,S',F'B,Z
b,b',F,Z'
B,B',f,Z'
Z,Z',0,Z
F',F,b',Z'
f',f,B',Z'
S',S,FB',Z'
b',b,F',Z
B',B,f',Z
Z',Z,0,Z'
F2,F2,b2,Z2
f2,f2,B2,Z2
S2,S2,F2B2,Z2
b2,b2,F2,Z2
B2,B2,f2,Z2
Z2,Z2,0,Z2
U,U',d,Y
u,u',D,Y
H,H',U'D,Y
d,d',U,Y'
D,D',u,Y'
Y,Y',0,Y
U',U,d',Y'
u',u,D',Y'
H',H,UD',Y'
d',d,U',Y
D',D,u',Y
Y',Y,0,Y'
U2,U2,d2,Y2
u2,u2,D2,Y2
H2,H2,U2D2,Y2
d2,d2,U2,Y2
D2,D2,u2,Y2
Y2,Y2,0,Y2
