orig,AX-->XB,AX2-->X2B,AX'-->X'B,AY-->YB,AY2-->Y2B,AY'-->Y'B,AZ-->ZB,AZ2-->Z2B,AZ'-->Z'B,T-reflection,H-reflection,S-reflection
R,R,R,R,F,L,B,D,L,U,L',R',R'
r,r,r,r,f,l,b,d,l,u,l',r',r'
T,T,T,T,S,T',S',H',T',H,T,T',T'
RL',RL',RL',RL',FB',R'L,F'B,U'D,R'L,UD',RL',R'L,R'L
l,l,l,l,b,r,f,u,r,d,r',l',l'
L,L,L,L,B,R,F,U,R,D,R',L',L'
X,X,X,X,Z,X',Z',Y',X',Y,X,X',X'
R',R',R',R',F',L',B',D',L',U',L,R,R
r',r',r',r',f',l',b',d',l',u',l,r,r
T',T',T',T',S',T,S,H,T,H',T',T,T
R'L,R'L,R'L,R'L,F'B,RL',FB',UD',RL',U'D,R'L,RL',RL'
l',l',l',l',b',r',f',u',r',d',r,l,l
L',L',L',L',B',R',F',U',R',D',R,L,L
X',X',X',X',Z',X,Z,Y,X,Y',X',X,X
R2,R2,R2,R2,F2,L2,B2,D2,L2,U2,L2,R2,R2
r2,r2,r2,r2,f2,l2,b2,d2,l2,u2,l2,r2,r2
T2,T2,T2,T2,S2,T2,S2,H2,T2,H2,T2,T2,T2
R2L2,R2L2,R2L2,R2L2,F2B2,R2L2,F2B2,U2D2,R2L2,U2D2,R2L2,R2L2,R2L2
l2,l2,l2,l2,b2,r2,f2,u2,r2,d2,r2,l2,l2
L2,L2,L2,L2,B2,R2,F2,U2,R2,D2,R2,L2,L2
X2,X2,X2,X2,Z2,X2,Z2,Y2,X2,Y2,X2,X2,X2
F,U,B,D,L,B,R,F,F,F,F',F',B'
f,u,b,d,l,b,r,f,f,f,f',f',b'
S,H,S',H',T',S',T,S,S,S,S',S',S
FB',UD',F'B,U'D,R'L,F'B,RL',FB',FB',FB',F'B,F'B,FB'
b,d,f,u,r,f,l,b,b,b,b',b',f'
B,D,F,U,R,F,L,B,B,B,B',B',F'
Z,Y,Z',Y',X',Z',X,Z,Z,Z,Z',Z',Z
F',U',B',D',L',B',R',F',F',F',F,F,B
f',u',b',d',l',b',r',f',f',f',f,f,b
S',H',S,H,T,S,T',S',S',S',S,S,S'
F'B,U'D,FB',UD',RL',FB',R'L,F'B,F'B,F'B,FB',FB',F'B
b',d',f',u',r',f',l',b',b',b',b,b,f
B',D',F',U',R',F',L',B',B',B',B,B,F
Z',Y',Z,Y,X,Z,X',Z',Z',Z',Z,Z,Z'
F2,U2,B2,D2,L2,B2,R2,F2,F2,F2,F2,F2,B2
f2,u2,b2,d2,l2,b2,r2,f2,f2,f2,f2,f2,b2
S2,H2,S2,H2,T2,S2,T2,S2,S2,S2,S2,S2,S2
F2B2,U2D2,F2B2,U2D2,R2L2,F2B2,R2L2,F2B2,F2B2,F2B2,F2B2,F2B2,F2B2
b2,d2,f2,u2,r2,f2,l2,b2,b2,b2,b2,b2,f2
B2,D2,F2,U2,R2,F2,L2,B2,B2,B2,B2,B2,F2
Z2,Y2,Z2,Y2,X2,Z2,X2,Z2,Z2,Z2,Z2,Z2,Z2
U,B,D,F,U,U,U,R,D,L,U',D',U'
u,b,d,f,u,u,u,r,d,l,u',d',u'
H,S',H',S,H,H,H,T,H',T',H',H,H'
UD',F'B,U'D,FB',UD',UD',UD',RL',U'D,R'L,U'D,UD',U'D
d,f,u,b,d,d,d,l,u,r,d',u',d'
D,F,U,B,D,D,D,L,U,R,D',U',D'
Y,Z',Y',Z,Y,Y,Y,X,Y',X',Y',Y,Y'
U',B',D',F',U',U',U',R',D',L',U,D,U
u',b',d',f',u',u',u',r',d',l',u,d,u
H',S,H,S',H',H',H',T',H,T,H,H',H
U'D,FB',UD',F'B,U'D,U'D,U'D,R'L,UD',RL',UD',U'D,UD'
d',f',u',b',d',d',d',l',u',r',d,u,d
D',F',U',B',D',D',D',L',U',R',D,U,D
Y',Z,Y,Z',Y',Y',Y',X',Y,X,Y,Y',Y
U2,B2,D2,F2,U2,U2,U2,R2,D2,L2,U2,D2,U2
u2,b2,d2,f2,u2,u2,u2,r2,d2,l2,u2,d2,u2
H2,S2,H2,S2,H2,H2,H2,T2,H2,T2,H2,H2,H2
U2D2,F2B2,U2D2,F2B2,U2D2,U2D2,U2D2,R2L2,U2D2,R2L2,U2D2,U2D2,U2D2
d2,f2,u2,b2,d2,d2,d2,l2,u2,r2,d2,u2,d2
D2,F2,U2,B2,D2,D2,D2,L2,U2,R2,D2,U2,D2
Y2,Z2,Y2,Z2,Y2,Y2,Y2,X2,Y2,X2,Y2,Y2,Y2
