orig,I,X,X2,X',Y,Y2,Y',Z,Z2,Z',Z X,Y' X',Y X',Z' X,Z' X',Y' X,Y X,Z X',Y' X2,Y X2,Z X2,Z' X2,Z2 X,Z2 X'
white,white,orange,yellow,red,white,white,white,blue,yellow,green,blue,red,red,green,green,orange,orange,blue,yellow,yellow,blue,green,red,orange
blue,blue,blue,blue,blue,red,green,orange,yellow,green,white,red,white,yellow,orange,red,yellow,white,orange,red,orange,white,yellow,green,green
red,red,white,orange,yellow,green,orange,blue,red,red,red,white,blue,green,white,yellow,blue,green,yellow,blue,green,orange,orange,white,yellow
yellow,yellow,red,white,orange,yellow,yellow,yellow,green,white,blue,green,orange,orange,blue,blue,red,red,green,white,white,green,blue,orange,red
green,green,green,green,green,orange,blue,red,white,blue,yellow,orange,yellow,white,red,orange,white,yellow,red,orange,red,yellow,white,blue,blue
orange,orange,yellow,red,white,blue,red,green,orange,orange,orange,yellow,green,blue,yellow,white,green,blue,white,green,blue,red,red,yellow,white
A,A,S,U,I,B,C,D,N,W,H,O,L,J,G,E,R,T,M,X,V,P,F,K,Q
B,B,T,V,J,C,D,A,O,X,E,P,I,K,H,F,S,Q,N,U,W,M,G,L,R
C,C,Q,W,K,D,A,B,P,U,F,M,J,L,E,G,T,R,O,V,X,N,H,I,S
D,D,R,X,L,A,B,C,M,V,G,N,K,I,F,H,Q,S,P,W,U,O,E,J,T
E,E,H,G,F,Q,M,I,B,O,X,T,U,C,L,R,A,W,J,S,K,V,D,P,N
F,F,E,H,G,R,N,J,C,P,U,Q,V,D,I,S,B,X,K,T,L,W,A,M,O
G,G,F,E,H,S,O,K,D,M,V,R,W,A,J,T,C,U,L,Q,I,X,B,N,P
H,H,G,F,E,T,P,L,A,N,W,S,X,B,K,Q,D,V,I,R,J,U,C,O,M
I,I,A,S,U,E,Q,M,J,K,L,B,P,F,D,X,N,H,V,O,G,T,R,C,W
J,J,B,T,V,F,R,N,K,L,I,C,M,G,A,U,O,E,W,P,H,Q,S,D,X
K,K,C,Q,W,G,S,O,L,I,J,D,N,H,B,V,P,F,X,M,E,R,T,A,U
L,L,D,R,X,H,T,P,I,J,K,A,O,E,C,W,M,G,U,N,F,S,Q,B,V
M,M,N,O,P,I,E,Q,V,G,D,J,C,U,R,L,W,A,T,K,S,B,X,F,H
N,N,O,P,M,J,F,R,W,H,A,K,D,V,S,I,X,B,Q,L,T,C,U,G,E
O,O,P,M,N,K,G,S,X,E,B,L,A,W,T,J,U,C,R,I,Q,D,V,H,F
P,P,M,N,O,L,H,T,U,F,C,I,B,X,Q,K,V,D,S,J,R,A,W,E,G
Q,Q,W,K,C,M,I,E,T,S,R,V,F,P,X,D,H,N,B,G,O,J,L,U,A
R,R,X,L,D,N,J,F,Q,T,S,W,G,M,U,A,E,O,C,H,P,K,I,V,B
S,S,U,I,A,O,K,G,R,Q,T,X,H,N,V,B,F,P,D,E,M,L,J,W,C
T,T,V,J,B,P,L,H,S,R,Q,U,E,O,W,C,G,M,A,F,N,I,K,X,D
U,U,I,A,S,X,W,V,F,C,P,E,T,R,M,O,J,L,G,B,D,H,N,Q,K
V,V,J,B,T,U,X,W,G,D,M,F,Q,S,N,P,K,I,H,C,A,E,O,R,L
W,W,K,C,Q,V,U,X,H,A,N,G,R,T,O,M,L,J,E,D,B,F,P,S,I
X,X,L,D,R,W,V,U,E,B,O,H,S,Q,P,N,I,K,F,A,C,G,M,T,J
a,a,s,u,i,b,c,d,n,w,h,o,l,j,g,e,r,t,m,x,v,p,f,k,q
b,b,t,v,j,c,d,a,o,x,e,p,i,k,h,f,s,q,n,u,w,m,g,l,r
c,c,q,w,k,d,a,b,p,u,f,m,j,l,e,g,t,r,o,v,x,n,h,i,s
d,d,r,x,l,a,b,c,m,v,g,n,k,i,f,h,q,s,p,w,u,o,e,j,t
e,e,h,g,f,q,m,i,b,o,x,t,u,c,l,r,a,w,j,s,k,v,d,p,n
f,f,e,h,g,r,n,j,c,p,u,q,v,d,i,s,b,x,k,t,l,w,a,m,o
g,g,f,e,h,s,o,k,d,m,v,r,w,a,j,t,c,u,l,q,i,x,b,n,p
h,h,g,f,e,t,p,l,a,n,w,s,x,b,k,q,d,v,i,r,j,u,c,o,m
i,i,a,s,u,e,q,m,j,k,l,b,p,f,d,x,n,h,v,o,g,t,r,c,w
j,j,b,t,v,f,r,n,k,l,i,c,m,g,a,u,o,e,w,p,h,q,s,d,x
k,k,c,q,w,g,s,o,l,i,j,d,n,h,b,v,p,f,x,m,e,r,t,a,u
l,l,d,r,x,h,t,p,i,j,k,a,o,e,c,w,m,g,u,n,f,s,q,b,v
m,m,n,o,p,i,e,q,v,g,d,j,c,u,r,l,w,a,t,k,s,b,x,f,h
n,n,o,p,m,j,f,r,w,h,a,k,d,v,s,i,x,b,q,l,t,c,u,g,e
o,o,p,m,n,k,g,s,x,e,b,l,a,w,t,j,u,c,r,i,q,d,v,h,f
p,p,m,n,o,l,h,t,u,f,c,i,b,x,q,k,v,d,s,j,r,a,w,e,g
q,q,w,k,c,m,i,e,t,s,r,v,f,p,x,d,h,n,b,g,o,j,l,u,a
r,r,x,l,d,n,j,f,q,t,s,w,g,m,u,a,e,o,c,h,p,k,i,v,b
s,s,u,i,a,o,k,g,r,q,t,x,h,n,v,b,f,p,d,e,m,l,j,w,c
t,t,v,j,b,p,l,h,s,r,q,u,e,o,w,c,g,m,a,f,n,i,k,x,d
u,u,i,a,s,x,w,v,f,c,p,e,t,r,m,o,j,l,g,b,d,h,n,q,k
v,v,j,b,t,u,x,w,g,d,m,f,q,s,n,p,k,i,h,c,a,e,o,r,l
w,w,k,c,q,v,u,x,h,a,n,g,r,t,o,m,l,j,e,d,b,f,p,s,i
x,x,l,d,r,w,v,u,e,b,o,h,s,q,p,n,i,k,f,a,c,g,m,t,j
