orig,AX-->XB,AX2-->X2B,AX'-->X'B,AX0-->X0B2,AY-->YB,AY2-->Y2B,AY'-->Y'B,AY0-->Y0B,AZ-->ZB,AZ2-->Z2B,AZ'-->Z'B,AZ0-->Z0B,T-reflection,H-reflection,S-reflection
R,R,R,R,R,F,L,B,R,D,L,U,R,L',R',R'
r,r,r,r,r,f,l,b,r,d,l,u,r,l',r',r'
T,T,T,T,T,S,T',S',T,H',T',H,T,T,T',T'
RL',RL',RL',RL',RL',FB',R'L,F'B,RL',U'D,R'L,UD',RL',RL',R'L,R'L
l,l,l,l,l,b,r,f,l,u,r,d,l,r',l',l'
L,L,L,L,L,B,R,F,L,U,R,D,L,R',L',L'
X,X,X,X,X,Z,X',Z',X,Y',X',Y,X,X,X',X'
R',R',R',R',R',F',L',B',R',D',L',U',R',L,R,R
r',r',r',r',r',f',l',b',r',d',l',u',r',l,r,r
T',T',T',T',T',S',T,S,T',H,T,H',T',T',T,T
R'L,R'L,R'L,R'L,R'L,F'B,RL',FB',R'L,UD',RL',U'D,R'L,R'L,RL',RL'
l',l',l',l',l',b',r',f',l',u',r',d',l',r,l,l
L',L',L',L',L',B',R',F',L',U',R',D',L',R,L,L
X',X',X',X',X',Z',X,Z,X',Y,X,Y',X',X',X,X
R2,R2,R2,R2,R2,F2,L2,B2,R2,D2,L2,U2,R2,L2,R2,R2
r2,r2,r2,r2,r2,f2,l2,b2,r2,d2,l2,u2,r2,l2,r2,r2
T2,T2,T2,T2,T2,S2,T2,S2,T2,H2,T2,H2,T2,T2,T2,T2
R2L2,R2L2,R2L2,R2L2,R2L2,F2B2,R2L2,F2B2,R2L2,U2D2,R2L2,U2D2,R2L2,R2L2,R2L2,R2L2
l2,l2,l2,l2,l2,b2,r2,f2,l2,u2,r2,d2,l2,r2,l2,l2
L2,L2,L2,L2,L2,B2,R2,F2,L2,U2,R2,D2,L2,R2,L2,L2
X2,X2,X2,X2,X2,Z2,X2,Z2,X2,Y2,X2,Y2,X2,X2,X2,X2
X0,X0,X0,X0,X0,Z0,X0,Z0,X0,Y0,X0,Y0,X0,X0,X0,X0
F,U,B,D,F,L,B,R,F,F,F,F,F,F',F',B'
f,u,b,d,f,l,b,r,f,f,f,f,f,f',f',b'
S,H,S',H',S,T',S',T,S,S,S,S,S,S',S',S
FB',UD',F'B,U'D,FB',R'L,F'B,RL',FB',FB',FB',FB',FB',F'B,F'B,FB'
b,d,f,u,b,r,f,l,b,b,b,b,b,b',b',f'
B,D,F,U,B,R,F,L,B,B,B,B,B,B',B',F'
Z,Y,Z',Y',Z,X',Z',X,Z,Z,Z,Z,Z,Z',Z',Z
F',U',B',D',F',L',B',R',F',F',F',F',F',F,F,B
f',u',b',d',f',l',b',r',f',f',f',f',f',f,f,b
S',H',S,H,S',T,S,T',S',S',S',S',S',S,S,S'
F'B,U'D,FB',UD',F'B,RL',FB',R'L,F'B,F'B,F'B,F'B,F'B,FB',FB',F'B
b',d',f',u',b',r',f',l',b',b',b',b',b',b,b,f
B',D',F',U',B',R',F',L',B',B',B',B',B',B,B,F
Z',Y',Z,Y,Z',X,Z,X',Z',Z',Z',Z',Z',Z,Z,Z'
F2,U2,B2,D2,F2,L2,B2,R2,F2,F2,F2,F2,F2,F2,F2,B2
f2,u2,b2,d2,f2,l2,b2,r2,f2,f2,f2,f2,f2,f2,f2,b2
S2,H2,S2,H2,S2,T2,S2,T2,S2,S2,S2,S2,S2,S2,S2,S2
F2B2,U2D2,F2B2,U2D2,F2B2,R2L2,F2B2,R2L2,F2B2,F2B2,F2B2,F2B2,F2B2,F2B2,F2B2,F2B2
b2,d2,f2,u2,b2,r2,f2,l2,b2,b2,b2,b2,b2,b2,b2,f2
B2,D2,F2,U2,B2,R2,F2,L2,B2,B2,B2,B2,B2,B2,B2,F2
Z2,Y2,Z2,Y2,Z2,X2,Z2,X2,Z2,Z2,Z2,Z2,Z2,Z2,Z2,Z2
Z0,Y0,Z0,Y0,Z0,X0,Z0,X0,Z0,Z0,Z0,Z0,Z0,Z0,Z0,Z0
U,B,D,F,U,U,U,U,U,R,D,L,U,U',D',U'
u,b,d,f,u,u,u,u,u,r,d,l,u,u',d',u'
H,S',H',S,H,H,H,H,H,T,H',T',H,H',H,H'
UD',F'B,U'D,FB',UD',UD',UD',UD',UD',RL',U'D,R'L,UD',U'D,UD',U'D
d,f,u,b,d,d,d,d,d,l,u,r,d,d',u',d'
