orig,XA-->BX,X2A-->BX2,X'A-->BX',X0A-->BX0,YA-->BY,Y2A-->BY2,Y'A-->BY',Y0A-->BY0,ZA-->BZ,Z2A-->BZ2,Z'A-->BZ',Z0A-->BZ0,T-reflection,H-reflection,S-reflection
R,R,R,R,R,B,L,F,R,U,L,D,R,L',R',R'
r,r,r,r,r,b,l,f,r,u,l,d,r,l',r',r'
T,T,T,T,T,S',T',S,T,H,T',H',T,T,T',T'
RL',RL',RL',RL',RL',F'B,R'L,FB',RL',UD',R'L,U'D,RL',RL',R'L,R'L
l,l,l,l,l,f,r,b,l,d,r,u,l,r',l',l'
L,L,L,L,L,F,R,B,L,D,R,U,L,R',L',L'
X,X,X,X,X,Z',X',Z,X,Y,X',Y',X,X,X',X'
R',R',R',R',R',B',L',F',R',U',L',D',R',L,R,R
r',r',r',r',r',b',l',f',r',u',l',d',r',l,r,r
T',T',T',T',T',S,T,S',T',H',T,H,T',T',T,T
R'L,R'L,R'L,R'L,R'L,FB',RL',F'B,R'L,U'D,RL',UD',R'L,R'L,RL',RL'
l',l',l',l',l',f',r',b',l',d',r',u',l',r,l,l
L',L',L',L',L',F',R',B',L',D',R',U',L',R,L,L
X',X',X',X',X',Z,X,Z',X',Y',X,Y,X',X',X,X
R2,R2,R2,R2,R2,B2,L2,F2,R2,U2,L2,D2,R2,L2,R2,R2
r2,r2,r2,r2,r2,b2,l2,f2,r2,u2,l2,d2,r2,l2,r2,r2
T2,T2,T2,T2,T2,S2,T2,S2,T2,H2,T2,H2,T2,T2,T2,T2
R2L2,R2L2,R2L2,R2L2,R2L2,F2B2,R2L2,F2B2,R2L2,U2D2,R2L2,U2D2,R2L2,R2L2,R2L2,R2L2
l2,l2,l2,l2,l2,f2,r2,b2,l2,d2,r2,u2,l2,r2,l2,l2
L2,L2,L2,L2,L2,F2,R2,B2,L2,D2,R2,U2,L2,R2,L2,L2
X2,X2,X2,X2,X2,Z2,X2,Z2,X2,Y2,X2,Y2,X2,X2,X2,X2
X0,X0,X0,X0,X0,Z0,X0,Z0,X0,Y0,X0,Y0,X0,X0,X0,X0
F,D,B,U,F,R,B,L,F,F,F,F,F,F',F',B'
f,d,b,u,f,r,b,l,f,f,f,f,f,f',f',b'
S,H',S',H,S,T,S',T',S,S,S,S,S,S',S',S
FB',U'D,F'B,UD',FB',RL',F'B,R'L,FB',FB',FB',FB',FB',F'B,F'B,FB'
b,u,f,d,b,l,f,r,b,b,b,b,b,b',b',f'
B,U,F,D,B,L,F,R,B,B,B,B,B,B',B',F'
Z,Y',Z',Y,Z,X,Z',X',Z,Z,Z,Z,Z,Z',Z',Z
F',D',B',U',F',R',B',L',F',F',F',F',F',F,F,B
f',d',b',u',f',r',b',l',f',f',f',f',f',f,f,b
S',H,S,H',S',T',S,T,S',S',S',S',S',S,S,S'
F'B,UD',FB',U'D,F'B,R'L,FB',RL',F'B,F'B,F'B,F'B,F'B,FB',FB',F'B
b',u',f',d',b',l',f',r',b',b',b',b',b',b,b,f
B',U',F',D',B',L',F',R',B',B',B',B',B',B,B,F
Z',Y,Z,Y',Z',X',Z,X,Z',Z',Z',Z',Z',Z,Z,Z'
F2,D2,B2,U2,F2,R2,B2,L2,F2,F2,F2,F2,F2,F2,F2,B2
