orig,XA-->BX,X2A-->BX2,X'A-->BX',YA-->BY,Y2A-->BY2,Y'A-->BY',ZA-->BZ,Z2A-->BZ2,Z'A-->BZ',T-reflection,H-reflection,S-reflection
R,R,R,R,B,L,F,U,L,D,L',R',R'
r,r,r,r,b,l,f,u,l,d,l',r',r'
T,T,T,T,S',T',S,H,T',H',T,T',T'
RL',RL',RL',RL',F'B,R'L,FB',UD',R'L,U'D,RL',R'L,R'L
l,l,l,l,f,r,b,d,r,u,r',l',l'
L,L,L,L,F,R,B,D,R,U,R',L',L'
X,X,X,X,Z',X',Z,Y,X',Y',X,X',X'
R',R',R',R',B',L',F',U',L',D',L,R,R
r',r',r',r',b',l',f',u',l',d',l,r,r
T',T',T',T',S,T,S',H',T,H,T',T,T
R'L,R'L,R'L,R'L,FB',RL',F'B,U'D,RL',UD',R'L,RL',RL'
l',l',l',l',f',r',b',d',r',u',r,l,l
L',L',L',L',F',R',B',D',R',U',R,L,L
X',X',X',X',Z,X,Z',Y',X,Y,X',X,X
R2,R2,R2,R2,B2,L2,F2,U2,L2,D2,L2,R2,R2
r2,r2,r2,r2,b2,l2,f2,u2,l2,d2,l2,r2,r2
T2,T2,T2,T2,S2,T2,S2,H2,T2,H2,T2,T2,T2
R2L2,R2L2,R2L2,R2L2,F2B2,R2L2,F2B2,U2D2,R2L2,U2D2,R2L2,R2L2,R2L2
l2,l2,l2,l2,f2,r2,b2,d2,r2,u2,r2,l2,l2
L2,L2,L2,L2,F2,R2,B2,D2,R2,U2,R2,L2,L2
X2,X2,X2,X2,Z2,X2,Z2,Y2,X2,Y2,X2,X2,X2
F,D,B,U,R,B,L,F,F,F,F',F',B'
f,d,b,u,r,b,l,f,f,f,f',f',b'
S,H',S',H,T,S',T',S,S,S,S',S',S
FB',U'D,F'B,UD',RL',F'B,R'L,FB',FB',FB',F'B,F'B,FB'
b,u,f,d,l,f,r,b,b,b,b',b',f'
B,U,F,D,L,F,R,B,B,B,B',B',F'
Z,Y',Z',Y,X,Z',X',Z,Z,Z,Z',Z',Z
F',D',B',U',R',B',L',F',F',F',F,F,B
f',d',b',u',r',b',l',f',f',f',f,f,b
S',H,S,H',T',S,T,S',S',S',S,S,S'
F'B,UD',FB',U'D,R'L,FB',RL',F'B,F'B,F'B,FB',FB',F'B
b',u',f',d',l',f',r',b',b',b',b,b,f
B',U',F',D',L',F',R',B',B',B',B,B,F
Z',Y,Z,Y',X',Z,X,Z',Z',Z',Z,Z,Z'
F2,D2,B2,U2,R2,B2,L2,F2,F2,F2,F2,F2,B2
f2,d2,b2,u2,r2,b2,l2,f2,f2,f2,f2,f2,b2
S2,H2,S2,H2,T2,S2,T2,S2,S2,S2,S2,S2,S2
F2B2,U2D2,F2B2,U2D2,R2L2,F2B2,R2L2,F2B2,F2B2,F2B2,F2B2,F2B2,F2B2
b2,u2,f2,d2,l2,f2,r2,b2,b2,b2,b2,b2,f2
B2,U2,F2,D2,L2,F2,R2,B2,B2,B2,B2,B2,F2
Z2,Y2,Z2,Y2,X2,Z2,X2,Z2,Z2,Z2,Z2,Z2,Z2
U,F,D,B,U,U,U,L,D,R,U',D',U'
u,f,d,b,u,u,u,l,d,r,u',d',u'
H,S,H',S',H,H,H,T',H',T,H',H,H'
UD',FB',U'D,F'B,UD',UD',UD',R'L,U'D,RL',U'D,UD',U'D
d,b,u,f,d,d,d,r,u,l,d',u',d'
D,B,U,F,D,D,D,R,U,L,D',U',D'
Y,Z,Y',Z',Y,Y,Y,X',Y',X,Y',Y,Y'
U',F',D',B',U',U',U',L',D',R',U,D,U
u',f',d',b',u',u',u',l',d',r',u,d,u
H',S',H,S,H',H',H',T,H,T',H,H',H
U'D,F'B,UD',FB',U'D,U'D,U'D,RL',UD',R'L,UD',U'D,UD'
d',b',u',f',d',d',d',r',u',l',d,u,d
D',B',U',F',D',D',D',R',U',L',D,U,D
Y',Z',Y,Z,Y',Y',Y',X,Y,X',Y,Y',Y
U2,F2,D2,B2,U2,U2,U2,L2,D2,R2,U2,D2,U2
u2,f2,d2,b2,u2,u2,u2,l2,d2,r2,u2,d2,u2
H2,S2,H2,S2,H2,H2,H2,T2,H2,T2,H2,H2,H2
U2D2,F2B2,U2D2,F2B2,U2D2,U2D2,U2D2,R2L2,U2D2,R2L2,U2D2,U2D2,U2D2
d2,b2,u2,f2,d2,d2,d2,r2,u2,l2,d2,u2,d2
D2,B2,U2,F2,D2,D2,D2,R2,U2,L2,D2,U2,D2
Y2,Z2,Y2,Z2,Y2,Y2,Y2,X2,Y2,X2,Y2,Y2,Y2
