orig,I,X,Y,Z,T-reflection,H-reflection,S-reflection,R,U,F
white,white,orange,white,blue,white,yellow,white,white,white,white
blue,blue,blue,red,yellow,green,blue,blue,blue,blue,blue
red,red,white,green,red,red,red,orange,red,red,red
yellow,yellow,red,yellow,green,yellow,white,yellow,yellow,yellow,yellow
green,green,green,orange,white,blue,green,green,green,green,green
orange,orange,yellow,blue,orange,orange,orange,red,orange,orange,orange
A,A,S,B,N,B,X,D,A,B,A
B,B,T,C,O,A,W,C,T,C,B
C,C,Q,D,P,D,V,B,Q,D,P
D,D,R,A,M,C,U,A,D,A,M
E,E,H,Q,B,N,H,F,E,Q,E
F,F,E,R,C,M,G,E,F,R,C
G,G,F,S,D,P,F,H,G,G,D
H,H,G,T,A,O,E,G,H,H,H
I,I,A,E,J,J,L,R,I,E,J
J,J,B,F,K,I,K,Q,B,F,K
K,K,C,G,L,L,J,T,C,K,L
L,L,D,H,I,K,I,S,L,L,I
M,M,N,I,V,F,P,N,N,I,V
N,N,O,J,W,E,O,M,O,J,N
O,O,P,K,X,H,N,T,P,O,O
P,P,M,L,U,G,M,B,M,P,U
Q,Q,W,M,T,R,T,J,W,M,Q
R,R,X,N,Q,Q,S,I,R,N,R
S,S,U,O,R,T,R,L,S,S,S
T,T,V,P,S,S,Q,K,V,T,T
U,U,I,X,F,V,D,X,U,U,F
V,V,J,U,G,U,C,W,J,V,G
W,W,K,V,H,X,B,V,K,W,W
X,X,L,W,E,W,A,U,X,X,X
a,a,s,b,n,a,w,c,a,b,a
b,b,t,c,o,d,v,b,t,c,b
c,c,q,d,p,c,u,a,c,d,p
d,d,r,a,m,b,x,d,d,a,d
e,e,h,q,b,m,g,e,e,q,e
f,f,e,r,c,p,f,h,f,f,c
g,g,f,s,d,o,e,g,g,g,g
h,h,g,t,a,n,h,f,h,h,h
i,i,a,e,j,i,k,r,i,e,j
j,j,b,f,k,l,j,q,b,j,k
k,k,c,g,l,k,i,t,k,k,l
l,l,d,h,i,j,l,s,l,l,i
m,m,n,i,v,e,o,m,n,i,m
n,n,o,j,w,h,n,p,o,n,n
o,o,p,k,x,g,m,t,p,o,o
p,p,m,l,u,f,p,a,m,p,u
q,q,w,m,t,q,t,i,q,m,q
r,r,x,n,q,t,s,l,r,r,r
s,s,u,o,r,s,r,k,s,s,s
t,t,v,p,s,r,q,j,v,t,t
u,u,i,x,f,u,c,w,u,u,f
v,v,j,u,g,x,b,v,j,v,v
w,w,k,v,h,w,a,u,w,w,w
x,x,l,w,e,v,d,x,x,x,x
