orig,I T-reflection,X T-reflection,X2 T-reflection,X' T-reflection,Y T-reflection,Y2 T-reflection,Y' T-reflection,Z T-reflection,Z2 T-reflection,Z' T-reflection,Z X T-reflection,Y' X' T-reflection,Y X' T-reflection,Z' X T-reflection,Z' X' T-reflection,Y' X T-reflection,Y X T-reflection,Z X' T-reflection,Y' X2 T-reflection,Y X2 T-reflection,Z X2 T-reflection,Z' X2 T-reflection,Z2 X T-reflection,Z2 X' T-reflection
wht,wht,ora,yel,red,wht,wht,wht,grn,yel,blu,grn,red,red,blu,blu,ora,ora,grn,yel,yel,grn,blu,red,ora
grn,blu,blu,blu,blu,ora,grn,red,wht,grn,yel,ora,yel,wht,red,ora,wht,yel,red,ora,red,yel,wht,grn,grn
red,red,wht,ora,yel,blu,ora,grn,red,red,red,wht,grn,blu,wht,yel,grn,blu,yel,grn,blu,ora,ora,wht,yel
blu,grn,grn,grn,grn,red,blu,ora,yel,blu,wht,red,wht,yel,ora,red,yel,wht,ora,red,ora,wht,yel,blu,blu
ora,ora,yel,red,wht,grn,red,blu,ora,ora,ora,yel,blu,grn,yel,wht,blu,grn,wht,blu,grn,red,red,yel,wht
yel,yel,red,wht,ora,yel,yel,yel,blu,wht,grn,blu,ora,ora,grn,grn,red,red,blu,wht,wht,blu,grn,ora,red
A,B,T,V,J,A,D,C,E,X,O,H,K,I,P,N,Q,S,F,W,U,G,M,L,R
B,A,S,U,I,D,C,B,H,W,N,G,J,L,O,M,T,R,E,V,X,F,P,K,Q
C,D,R,X,L,C,B,A,G,V,M,F,I,K,N,P,S,Q,H,U,W,E,O,J,T
D,C,Q,W,K,B,A,D,F,U,P,E,L,J,M,O,R,T,G,X,V,H,N,I,S
E,N,O,P,M,R,F,J,A,H,W,S,V,D,K,Q,B,X,I,T,L,U,C,G,E
F,M,N,O,P,Q,E,I,D,G,V,R,U,C,J,T,A,W,L,S,K,X,B,F,H
G,P,M,N,O,T,H,L,C,F,U,Q,X,B,I,S,D,V,K,R,J,W,A,E,G
H,O,P,M,N,S,G,K,B,E,X,T,W,A,L,R,C,U,J,Q,I,V,D,H,F
I,J,B,T,V,N,R,F,I,L,K,A,G,M,C,W,E,O,U,H,P,S,Q,D,X
J,I,A,S,U,M,Q,E,L,K,J,D,F,P,B,V,H,N,X,G,O,R,T,C,W
K,L,D,R,X,P,T,H,K,J,I,C,E,O,A,U,G,M,W,F,N,Q,S,B,V
L,K,C,Q,W,O,S,G,J,I,L,B,H,N,D,X,F,P,V,E,M,T,R,A,U
M,F,E,H,G,J,N,R,U,P,C,I,D,V,Q,K,X,B,S,L,T,A,W,M,O
N,E,H,G,F,I,M,Q,X,O,B,L,C,U,T,J,W,A,R,K,S,D,V,P,N
O,H,G,F,E,L,P,T,W,N,A,K,B,X,S,I,V,D,Q,J,R,C,U,O,M
P,G,F,E,H,K,O,S,V,M,D,J,A,W,R,L,U,C,T,I,Q,B,X,N,P
Q,R,X,L,D,F,J,N,S,T,Q,U,M,G,W,C,O,E,A,P,H,I,K,V,B
R,Q,W,K,C,E,I,M,R,S,T,X,P,F,V,B,N,H,D,O,G,L,J,U,A
S,T,V,J,B,H,L,P,Q,R,S,W,O,E,U,A,M,G,C,N,F,K,I,X,D
T,S,U,I,A,G,K,O,T,Q,R,V,N,H,X,D,P,F,B,M,E,J,L,W,C
U,V,J,B,T,W,X,U,M,D,G,N,S,Q,F,H,I,K,P,A,C,O,E,R,L
V,U,I,A,S,V,W,X,P,C,F,M,R,T,E,G,L,J,O,D,B,N,H,Q,K
W,X,L,D,R,U,V,W,O,B,E,P,Q,S,H,F,K,I,N,C,A,M,G,T,J
