orig,I,X,X2,X',Y,Y2,Y',Z,Z2,Z',R,R2,R',L,L2,L',T,T2,T',r-lower,r2-lower,r'-lower,l-lower,l2-lower,l'-lower,RL',R2L2,R'L,U,U2,U',D,D2,D',H,H2,H',u-lower,u2-lower,u'-lower,d-lower,d2-lower,d'-lower,UD',U2D2,U'D,F,F2,F',B,B2,B',S,S2,S',f-lower,f2-lower,f'-lower,b-lower,b2-lower,b'-lower,FB',F2B2,F'B
white,white,orange,yellow,red,white,white,white,blue,yellow,green,white,white,white,white,white,white,orange,yellow,red,orange,yellow,red,red,yellow,orange,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,yellow,green,blue,yellow,green,green,yellow,blue,white,white,white
blue,blue,blue,blue,blue,red,green,orange,yellow,green,white,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,red,green,orange,red,green,orange,orange,green,red,blue,blue,blue,blue,blue,blue,blue,blue,blue,yellow,green,white,yellow,green,white,white,green,yellow,blue,blue,blue
red,red,white,orange,yellow,green,orange,blue,red,red,red,red,red,red,red,red,red,white,orange,yellow,white,orange,yellow,yellow,orange,white,red,red,red,red,red,red,red,red,red,green,orange,blue,green,orange,blue,blue,orange,green,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
yellow,yellow,red,white,orange,yellow,yellow,yellow,green,white,blue,yellow,yellow,yellow,yellow,yellow,yellow,red,white,orange,red,white,orange,orange,white,red,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,white,blue,green,white,blue,blue,white,green,yellow,yellow,yellow
green,green,green,green,green,orange,blue,red,white,blue,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,orange,blue,red,orange,blue,red,red,blue,orange,green,green,green,green,green,green,green,green,green,white,blue,yellow,white,blue,yellow,yellow,blue,white,green,green,green
orange,orange,yellow,red,white,blue,red,green,orange,orange,orange,orange,orange,orange,orange,orange,orange,yellow,red,white,yellow,red,white,white,red,yellow,orange,orange,orange,orange,orange,orange,orange,orange,orange,blue,red,green,blue,red,green,green,red,blue,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
A,A,S,U,I,B,C,D,N,W,H,A,A,A,I,U,S,A,A,A,A,A,A,I,U,S,S,U,I,B,C,D,A,A,A,A,A,A,B,C,D,A,A,A,B,C,D,A,A,A,H,W,N,A,A,A,A,A,A,H,W,N,N,W,H
B,B,T,V,J,C,D,A,O,X,E,T,V,J,B,B,B,B,B,B,T,V,J,B,B,B,T,V,J,C,D,A,B,B,B,B,B,B,C,D,A,B,B,B,C,D,A,B,B,B,E,X,O,B,B,B,B,B,B,E,X,O,O,X,E
C,C,Q,W,K,D,A,B,P,U,F,Q,W,K,C,C,C,C,C,C,Q,W,K,C,C,C,Q,W,K,D,A,B,C,C,C,C,C,C,D,A,B,C,C,C,D,A,B,P,U,F,C,C,C,C,C,C,P,U,F,C,C,C,P,U,F
D,D,R,X,L,A,B,C,M,V,G,D,D,D,L,X,R,D,D,D,D,D,D,L,X,R,R,X,L,A,B,C,D,D,D,D,D,D,A,B,C,D,D,D,A,B,C,M,V,G,D,D,D,D,D,D,M,V,G,D,D,D,M,V,G
